"Severity","Time","Recovery time","Status","Host","Problem","Duration","Ack","Actions","Tags"
"Information","2025-04-17 00:13:35","2025-04-17 00:18:35","RESOLVED","(CTEC) SERVIDOR ILUPSAP01","System name has changed (new name: ILUPSAP01)","5m","No","","Application: General"
"High","2025-04-17 00:11:41","2025-04-17 01:01:41","RESOLVED","(CTEC) SERVIDOR HEPPBIODS01","High Memory Utilization ( >90% for 10m)","50m","No","Actions (2)","Application: Memory"
"High","2025-04-17 00:10:22","2025-04-17 00:49:22","RESOLVED","(ILUMNO) SERVIDOR ILUPGENDB01","D:: High Disk Space Utilization (used > 85%)","39m","No","Actions (2)","Application: Filesystem D:"
"Information","2025-04-17 00:08:35","2025-04-17 00:13:35","RESOLVED","(CTEC) SERVIDOR ILUPSAP01","System name has changed (new name: ILUPSAP01)","5m","No","","Application: General"
"Warning","2025-04-17 00:01:56","2025-04-17 03:04:59","RESOLVED","(NAP) N3K - A","Interface Vlan101(): High bandwidth usage ( > 90% )","3h 3m 3s","No","","Application: Interface Vlan101()"
"Information","2025-04-16 23:58:35","2025-04-17 00:03:35","RESOLVED","(CTEC) SERVIDOR ILUPSAP01","System name has changed (new name: ILUPSAP01)","5m","No","","Application: General"
"Warning","2025-04-16 23:55:57","2025-04-16 23:58:57","RESOLVED","(NAP) N3K - A","Interface Vlan101(): High bandwidth usage ( > 90% )","3m","No","","Application: Interface Vlan101()"
"Information","2025-04-16 23:48:35","2025-04-16 23:53:35","RESOLVED","(CTEC) SERVIDOR ILUPSAP01","System name has changed (new name: ILUPSAP01)","5m","No","","Application: General"
"Average","2025-04-16 23:45:40","2025-04-17 00:19:40","RESOLVED","(ILUMNO) SERVIDOR ILUPGENDB01","1 D:: Disk is overloaded (util > 92% for 15m)","34m","No","","Application: Disk 1 D:"
"Average","2025-04-16 23:14:40","2025-04-16 23:16:40","RESOLVED","(ILUMNO) SERVIDOR ILUPGENDB01","1 D:: Disk is overloaded (util > 92% for 15m)","2m","No","","Application: Disk 1 D:"
"Disaster","2025-04-16 23:06:17","2025-04-17 19:46:03","RESOLVED","(CTEC) WWW.UDELISTMO.EDU","CTEC - WWW.UDELISTMO.EDU is not working","20h 39m 46s","No","Actions (5)","GLPI: Yes, GLPICat: 2857, TICKET: 39859, TICKET_URL: https://services.ilumno.com/glpi/front/ticket.form.php?id=39859"
"Disaster","2025-04-16 23:06:16","2025-04-17 19:46:01","RESOLVED","(CTEC) PORTAL WWW.USANMARCOS.AC.CR","CTEC - PORTAL WWW.USANMARCOS.AC.CR is not working","20h 39m 45s","No","Actions (5)","GLPI: Yes, GLPICat: 2857, TICKET: 39858, TICKET_URL: https://services.ilumno.com/glpi/front/ticket.form.php?id=39858"
"Warning","2025-04-16 23:05:29","2025-04-17 00:05:29","RESOLVED","Zabbix Server Ilumno","Zabbix server: More than 100 items having missing data for more than 10 minutes","1h","No","","Application: Zabbix server"
"Warning","2025-04-16 23:02:00","2025-04-16 23:52:59","RESOLVED","(NAP) N3K - A","Interface Vlan101(): High bandwidth usage ( > 90% )","50m 59s","No","","Application: Interface Vlan101()"
"Warning","2025-04-16 22:47:00","2025-04-17 03:04:59","RESOLVED","(NAP) N3K - A","Interface Ethernet1/22(): High bandwidth usage ( > 90% )","4h 17m 59s","No","","Application: Interface Ethernet1/22()"
"Warning","2025-04-16 22:47:00","2025-04-17 03:04:59","RESOLVED","(NAP) N3K - A","Interface Ethernet1/7(To-FW-CORE-MAIN-MGMT): High bandwidth usage ( > 90% )","4h 17m 59s","No","","Application: Interface Ethernet1/7(To-FW-CORE-MAIN-MGMT)"
"Information","2025-04-16 22:33:35","2025-04-16 23:43:35","RESOLVED","(CTEC) SERVIDOR ILUPSAP01","System name has changed (new name: ILUPSAP01)","1h 10m","No","","Application: General"
"Warning","2025-04-16 22:31:56","2025-04-16 22:58:56","RESOLVED","(NAP) N3K - A","Interface Vlan101(): High bandwidth usage ( > 90% )","27m","No","","Application: Interface Vlan101()"
"Disaster","2025-04-16 22:27:04","2025-04-17 19:39:26","RESOLVED","(CTEC) - PORTAL LANDINGS UDI POSGRADO VIRTUAL ESPECIALIZACION EN DIDACTICA DEL IDIOMA INGLES","CTEC - PORTAL LANDINGS UDI POSGRADO VIRTUAL ESPECIALIZACION EN DIDACTICA DEL IDIOMA INGLES is not working","21h 12m 22s","No","Actions (2)",""
"Disaster","2025-04-16 22:26:55","2025-04-17 19:39:51","RESOLVED","(CTEC) - PORTAL LANDINGS UDI PREGRADO VIRTUAL LICENCIATURA EN CRIMINALISTICA","CTEC - PORTAL LANDINGS UDI PREGRADO VIRTUAL LICENCIATURA EN CRIMINALISTICA is not working","21h 12m 56s","No","Actions (2)",""
"Disaster","2025-04-16 22:26:54","2025-04-17 19:39:49","RESOLVED","(CTEC) - PORTAL LANDINGS UDI POSGRADO VIRTUAL MAESTRIA EN EDUCACION CON ENFASIS EN ADMINISTRACION DE CENTROS EDUCATIVOS","CTEC - PORTAL LANDINGS UDI POSGRADO VIRTUAL MAESTRIA EN EDUCACION CON ENFASIS EN ADMINISTRACION DE CENTROS EDUCATIVOS is not working","21h 12m 55s","No","Actions (2)",""
"Disaster","2025-04-16 22:26:50","2025-04-17 19:39:15","RESOLVED","(CTEC) - PORTAL LANDINGS UDI PREGRADO PRESENCIAL LICENCIATURA EN ADMINISTRACION DE EMPRESAS","CTEC - PORTAL LANDINGS UDI PREGRADO PRESENCIAL LICENCIATURA EN ADMINISTRACION DE EMPRESAS is not working","21h 12m 25s","No","Actions (2)",""
"Disaster","2025-04-16 22:26:50","2025-04-17 19:39:48","RESOLVED","(CTEC) - PORTAL LANDINGS UDI POSGRADO VIRTUAL MAESTRIA EN EDUCACION CON ENFASIS EN INVESTIGACION","CTEC - PORTAL LANDINGS UDI POSGRADO VIRTUAL MAESTRIA EN EDUCACION CON ENFASIS EN INVESTIGACION is not working","21h 12m 58s","No","Actions (2)",""
"Disaster","2025-04-16 22:26:46","2025-04-17 19:39:44","RESOLVED","(CTEC) - PORTAL LANDINGS UDI PREGRADO VIRTUAL LICENCIATURA EN DERECHO Y CIENCIAS POLITICAS","CTEC - PORTAL LANDINGS UDI PREGRADO VIRTUAL LICENCIATURA EN DERECHO Y CIENCIAS POLITICAS is not working","21h 12m 58s","No","Actions (2)",""
"Disaster","2025-04-16 22:26:46","2025-04-17 19:39:21","RESOLVED","(CTEC) - PORTAL LANDINGS UDI POSGRADO VIRTUAL MAESTRIA EN ADMINISTRACION DE EMPRESAS CON ENFASIS EN GERENCIAS DE EMPRESAS AGROPE","CTEC - PORTAL LANDINGS UDI POSGRADO VIRTUAL MAESTRIA EN ADMINISTRACION DE EMPRESAS CON ENFASIS EN GERENCIAS DE EMPRESAS AGROPECU is not working","21h 12m 35s","No","Actions (2)",""
"Disaster","2025-04-16 22:26:45","2025-04-17 19:39:25","RESOLVED","(CTEC) - PORTAL LANDINGS UDI PREGRADO VIRTUAL LICENCIATURA EN NEGOCIOS INTERNACIONALES","CTEC - PORTAL LANDINGS UDI PREGRADO VIRTUAL LICENCIATURA EN NEGOCIOS INTERNACIONALES is not working","21h 12m 40s","No","Actions (2)",""
"Disaster","2025-04-16 22:26:43","2025-04-17 19:39:01","RESOLVED","(CTEC) - PORTAL LANDINGS UDI POSGRADO VIRTUAL MAESTRIA EN GERENCIA DE MARKETING DIGITAL","CTEC - PORTAL LANDINGS UDI POSGRADO VIRTUAL MAESTRIA EN GERENCIA DE MARKETING DIGITAL is not working","21h 12m 18s","No","Actions (2)",""
"Disaster","2025-04-16 22:26:43","2025-04-17 19:39:41","RESOLVED","(CTEC) - PORTAL LANDINGS UDI PREGRADO PRESENCIAL LICENCIATURA EN DERECHO Y CIENCIAS POLITICAS","CTEC - PORTAL LANDINGS UDI PREGRADO PRESENCIAL LICENCIATURA EN DERECHO Y CIENCIAS POLITICAS is not working","21h 12m 58s","No","Actions (2)",""
"Disaster","2025-04-16 22:26:39","2025-04-17 19:39:39","RESOLVED","(CTEC) - PORTAL LANDINGS UDI POSGRADO VIRTUAL","CTEC - PORTAL LANDINGS UDI POSGRADO VIRTUAL is not working","21h 13m","No","Actions (2)",""
"Disaster","2025-04-16 22:26:37","2025-04-17 19:39:16","RESOLVED","(CTEC) - PORTAL LANDINGS UDI PREGRADO PRESENCIAL LICENCIATURA EN LOGISTICA","CTEC - PORTAL LANDINGS UDI PREGRADO PRESENCIAL LICENCIATURA EN LOGISTICA is not working","21h 12m 39s","No","Actions (2)",""
"Disaster","2025-04-16 22:26:36","2025-04-17 19:39:42","RESOLVED","(CTEC) - PORTAL LANDINGS UDI PREGRADO VIRTUAL LICENCIATURA EN ADMINISTRACION DE NEGOCIOS MARITIMOS CON ENFASIS EN PUERTOS Y TRAN","CTEC - PORTAL LANDINGS UDI PREGRADO VIRTUAL LICENCIATURA EN ADMINISTRACION DE NEGOCIOS MARITIMOS CON ENFASIS EN PUERTOS Y TRANSP is not working","21h 13m 6s","No","Actions (2)",""
"Disaster","2025-04-16 22:26:33","2025-04-17 19:38:59","RESOLVED","(CTEC) - PORTAL LANDINGS UDI PREGRADO VIRTUAL TECNICO UNIVERSITARIO EN CIBERSEGURIDAD","CTEC - PORTAL LANDINGS UDI PREGRADO VIRTUAL TECNICO UNIVERSITARIO EN CIBERSEGURIDAD is not working","21h 12m 26s","No","Actions (2)",""
"Disaster","2025-04-16 22:26:32","2025-04-17 19:39:33","RESOLVED","(CTEC) - PORTAL LANDINGS UDI PREGRADO PRESENCIAL LICENCIATURA EN INGENIERIA INDUSTRIAL ADMINISTRATIVA","CTEC - PORTAL LANDINGS UDI PREGRADO PRESENCIAL LICENCIATURA EN INGENIERIA INDUSTRIAL ADMINISTRATIVA is not working","21h 13m 1s","No","Actions (2)",""
"Disaster","2025-04-16 22:26:30","2025-04-17 19:39:00","RESOLVED","(CTEC) - PORTAL LANDINGS UDI POSGRADO VIRTUAL ESPECIALIZACION EN DERECHO PROCESAL PENAL ACUSATORIO","CTEC - PORTAL LANDINGS UDI POSGRADO VIRTUAL ESPECIALIZACION EN DERECHO PROCESAL PENAL ACUSATORIO is not working","21h 12m 30s","No","Actions (2)",""
"Disaster","2025-04-16 22:26:27","2025-04-17 19:39:50","RESOLVED","(CTEC) - PORTAL LANDINGS UDI PREGRADO PRESENCIAL LICENCIATURA EN INGENIERIA EN CIBERSEGURIDAD","CTEC - PORTAL LANDINGS UDI PREGRADO PRESENCIAL LICENCIATURA EN INGENIERIA EN CIBERSEGURIDAD is not working","21h 13m 23s","No","Actions (2)",""
"Disaster","2025-04-16 22:26:27","2025-04-17 19:39:22","RESOLVED","(CTEC) - PORTAL LANDINGS UDI PREGRADO VIRTUAL LICENCIATURA EN ADMINISTRACION DE SISTEMAS","CTEC - PORTAL LANDINGS UDI PREGRADO VIRTUAL LICENCIATURA EN ADMINISTRACION DE SISTEMAS is not working","21h 12m 55s","No","Actions (2)",""
"Disaster","2025-04-16 22:26:24","2025-04-17 19:39:47","RESOLVED","(CTEC) - PORTAL LANDINGS UDI POSGRADO VIRTUAL MAESTRIA EN ADMINISTRACION DE EMPRESAS CON ENFASIS EN BANCA Y FINANZAS INTERNACION","CTEC - PORTAL LANDINGS UDI POSGRADO VIRTUAL MAESTRIA EN ADMINISTRACION DE EMPRESAS CON ENFASIS EN BANCA Y FINANZAS INTERNACIONAL is not working","21h 13m 23s","No","Actions (2)",""
"Disaster","2025-04-16 22:26:23","2025-04-17 19:39:43","RESOLVED","(CTEC) - PORTAL LANDINGS UDI POSGRADO VIRTUAL MAESTRIA EN INNOVACION","CTEC - PORTAL LANDINGS UDI POSGRADO VIRTUAL MAESTRIA EN INNOVACION is not working","21h 13m 20s","No","Actions (2)",""
"Disaster","2025-04-16 22:26:20","2025-04-17 19:39:19","RESOLVED","(CTEC) - PORTAL LANDINGS UDI PREGRADO VIRTUAL TECNICO UNIVERSITARIO EN SERVICIO PARA AEROLINEAS","CTEC - PORTAL LANDINGS UDI PREGRADO VIRTUAL TECNICO UNIVERSITARIO EN SERVICIO PARA AEROLINEAS is not working","21h 12m 59s","No","Actions (2)",""
"Disaster","2025-04-16 22:26:19","2025-04-17 19:39:48","RESOLVED","(CTEC) - PORTAL LANDINGS UDI PREGRADO VIRTUAL LICENCIATURA EN GESTION DE RIESGO Y SEGUROS","CTEC - PORTAL LANDINGS UDI PREGRADO VIRTUAL LICENCIATURA EN GESTION DE RIESGO Y SEGUROS is not working","21h 13m 29s","No","Actions (2)",""
"Disaster","2025-04-16 22:26:19","2025-04-17 19:39:44","RESOLVED","(CTEC) - PORTAL LANDINGS UDI PREGRADO VIRTUAL TECNICO EN CONTABILIDAD","CTEC - PORTAL LANDINGS UDI PREGRADO VIRTUAL TECNICO EN CONTABILIDAD is not working","21h 13m 25s","No","Actions (2)",""
"Disaster","2025-04-16 22:26:19","2025-04-17 19:39:40","RESOLVED","(CTEC) - PORTAL LANDINGS UDI PREGRADO VIRTUAL LICENCIATURA EN ADMINISTRACION DE EMPRESAS","CTEC - PORTAL LANDINGS UDI PREGRADO VIRTUAL LICENCIATURA EN ADMINISTRACION DE EMPRESAS is not working","21h 13m 21s","No","Actions (2)",""
"Disaster","2025-04-16 22:26:18","2025-04-17 19:39:47","RESOLVED","(CTEC) - PORTAL LANDINGS UDI POSGRADO VIRTUAL ESPECIALIZACION EN EXPERIENCIA DEL CLIENTE","CTEC - PORTAL LANDINGS UDI POSGRADO VIRTUAL ESPECIALIZACION EN EXPERIENCIA DEL CLIENTE is not working","21h 13m 29s","No","Actions (2)",""
"Disaster","2025-04-16 22:26:18","2025-04-17 19:39:30","RESOLVED","(CTEC) - PORTAL LANDINGS UDI POSGRADO VIRTUAL MAESTRIA EN GESTION AMBIENTAL Y SOSTENIBILIDAD","CTEC - PORTAL LANDINGS UDI POSGRADO VIRTUAL MAESTRIA EN GESTION AMBIENTAL Y SOSTENIBILIDAD is not working","21h 13m 12s","No","Actions (2)",""
"Disaster","2025-04-16 22:26:17","2025-04-17 19:39:02","RESOLVED","(CTEC) - PORTAL LANDINGS UDI PREGRADO VIRTUAL LICENCIATURA EN INGENIERIA EN CIBERSEGURIDAD","CTEC - PORTAL LANDINGS UDI PREGRADO VIRTUAL LICENCIATURA EN INGENIERIA EN CIBERSEGURIDAD is not working","21h 12m 45s","No","Actions (2)",""
"Disaster","2025-04-16 22:26:17","2025-04-17 19:39:27","RESOLVED","(CTEC) - PORTAL LANDINGS UDI PREGRADO VIRTUAL LICENCIATURA EN COMUNICACION SOCIAL","CTEC - PORTAL LANDINGS UDI PREGRADO VIRTUAL LICENCIATURA EN COMUNICACION SOCIAL is not working","21h 13m 10s","No","Actions (2)",""
"Disaster","2025-04-16 22:26:16","2025-04-17 19:39:18","RESOLVED","(CTEC) - PORTAL LANDINGS UDI PREGRADO VIRTUAL TECNICO EN ADMINISTRACION DE EMPRESAS","CTEC - PORTAL LANDINGS UDI PREGRADO VIRTUAL TECNICO EN ADMINISTRACION DE EMPRESAS is not working","21h 13m 2s","No","Actions (2)",""
"Disaster","2025-04-16 22:26:14","2025-04-17 19:39:46","RESOLVED","(CTEC) - PORTAL LANDINGS UDI PREGRADO VIRTUAL LICENCIATURA EN LOGISTICA","CTEC - PORTAL LANDINGS UDI PREGRADO VIRTUAL LICENCIATURA EN LOGISTICA is not working","21h 13m 32s","No","Actions (2)",""
"Disaster","2025-04-16 22:26:14","2025-04-17 19:39:42","RESOLVED","(CTEC) - PORTAL LANDINGS UDI POSGRADO VIRTUAL ESPECIALIZACION EN DOCENCIA SUPERIOR","CTEC - PORTAL LANDINGS UDI POSGRADO VIRTUAL ESPECIALIZACION EN DOCENCIA SUPERIOR is not working","21h 13m 28s","No","Actions (2)",""
"Disaster","2025-04-16 22:26:13","2025-04-17 19:39:35","RESOLVED","(CTEC) - PORTAL LANDINGS UDI POSGRADO VIRTUAL DOCTORADO EN EDUCACION CON ENFASIS EN INVESTIGACION","CTEC - PORTAL LANDINGS UDI POSGRADO VIRTUAL DOCTORADO EN EDUCACION CON ENFASIS EN INVESTIGACION is not working","21h 13m 22s","No","Actions (2)",""
"Disaster","2025-04-16 22:26:12","2025-04-17 19:39:32","RESOLVED","(CTEC) - PORTAL LANDINGS UDI PREGRADO PRESENCIAL LICENCIATURA EN CRIMINALISTICA","CTEC - PORTAL LANDINGS UDI PREGRADO PRESENCIAL LICENCIATURA EN CRIMINALISTICA is not working","21h 13m 20s","No","Actions (2)",""
"Disaster","2025-04-16 22:26:12","2025-04-17 19:39:01","RESOLVED","(CTEC) - PORTAL LANDINGS UDI POSGRADO VIRTUAL MAESTRIA EN DERECHO EMPRESARIAL CORPORATIVO","CTEC - PORTAL LANDINGS UDI POSGRADO VIRTUAL MAESTRIA EN DERECHO EMPRESARIAL CORPORATIVO is not working","21h 12m 49s","No","Actions (2)",""
"Disaster","2025-04-16 22:26:12","2025-04-17 19:39:29","RESOLVED","(CTEC) - PORTAL LANDINGS UDI PREGRADO VIRTUAL LICENCIATURA EN MERCADEO Y PUBLICIDAD","CTEC - PORTAL LANDINGS UDI PREGRADO VIRTUAL LICENCIATURA EN MERCADEO Y PUBLICIDAD is not working","21h 13m 17s","No","Actions (2)",""
"Disaster","2025-04-16 22:26:12","2025-04-17 19:38:59","RESOLVED","(CTEC) - PORTAL LANDINGS UDI POSGRADO VIRTUAL MAESTRIA EN ADMINISTRACION DE EMPRESAS CON ENFASIS EN RECURSOS HUMANOS Y GESTION D","CTEC - PORTAL LANDINGS UDI POSGRADO VIRTUAL MAESTRIA EN ADMINISTRACION DE EMPRESAS CON ENFASIS EN RECURSOS HUMANOS Y GESTION DEL is not working","21h 12m 47s","No","Actions (2)",""
"Disaster","2025-04-16 22:26:12","2025-04-17 19:39:49","RESOLVED","(CTEC) - PORTAL LANDINGS UDI PREGRADO VIRTUAL LICENCIATURA EN PSICOLOGIA","CTEC - PORTAL LANDINGS UDI PREGRADO VIRTUAL LICENCIATURA EN PSICOLOGIA is not working","21h 13m 37s","No","Actions (2)",""
"Disaster","2025-04-16 22:26:11","2025-04-17 19:39:46","RESOLVED","(CTEC) - PORTAL LANDINGS UDI PREGRADO PRESENCIAL LICENCIATURA EN MERCADEO Y PUBLICIDAD","CTEC - PORTAL LANDINGS UDI PREGRADO PRESENCIAL LICENCIATURA EN MERCADEO Y PUBLICIDAD is not working","21h 13m 35s","No","Actions (2)",""
"Disaster","2025-04-16 22:26:11","2025-04-17 19:39:42","RESOLVED","(CTEC) - PORTAL LANDINGS UDI PREGRADO VIRTUAL TECNICO EN LOGISTICA","CTEC - PORTAL LANDINGS UDI PREGRADO VIRTUAL TECNICO EN LOGISTICA is not working","21h 13m 31s","No","Actions (2)",""
"Disaster","2025-04-16 22:26:11","2025-04-17 19:39:16","RESOLVED","(CTEC) - PORTAL LANDINGS UDI PREGRADO PRESENCIAL LICENCIATURA EN ADMINISTRACION DE NEGOCIOS MARITIMOS CON ENFASIS EN PUERTOS Y T","CTEC - PORTAL LANDINGS UDI PREGRADO PRESENCIAL LICENCIATURA EN ADMINISTRACION DE NEGOCIOS MARITIMOS CON ENFASIS EN PUERTOS Y TRA is not working","21h 13m 5s","No","Actions (2)",""
"Disaster","2025-04-16 22:26:11","2025-04-17 19:39:28","RESOLVED","(CTEC) - PORTAL LANDINGS UDI PREGRADO VIRTUAL TECNICO EN ADMINISTRACION DE SISTEMAS","CTEC - PORTAL LANDINGS UDI PREGRADO VIRTUAL TECNICO EN ADMINISTRACION DE SISTEMAS is not working","21h 13m 17s","No","Actions (2)",""
"Disaster","2025-04-16 22:26:11","2025-04-17 19:39:31","RESOLVED","(CTEC) - PORTAL LANDINGS UDI PREGRADO PRESENCIAL","CTEC - PORTAL LANDINGS UDI PREGRADO PRESENCIAL is not working","21h 13m 20s","No","Actions (2)",""
"Disaster","2025-04-16 22:26:11","2025-04-17 19:39:35","RESOLVED","(CTEC) - PORTAL LANDINGS UDI PREGRADO VIRTUAL LICENCIATURA EN CONTABILIDAD","CTEC - PORTAL LANDINGS UDI PREGRADO VIRTUAL LICENCIATURA EN CONTABILIDAD is not working","21h 13m 24s","No","Actions (2)",""
"Disaster","2025-04-16 22:26:10","2025-04-17 19:39:15","RESOLVED","(CTEC) - PORTAL LANDINGS UDI POSGRADO VIRTUAL MAESTRIA EN ADMINISTRACION DE EMPRESAS CON ENFASIS EN GESTION DE PROYECTOS","CTEC - PORTAL LANDINGS UDI POSGRADO VIRTUAL MAESTRIA EN ADMINISTRACION DE EMPRESAS CON ENFASIS EN GESTION DE PROYECTOS is not working","21h 13m 5s","No","Actions (2)",""
"Disaster","2025-04-16 22:26:10","2025-04-17 19:39:03","RESOLVED","(CTEC) - PORTAL LANDINGS UDI PREGRADO VIRTUAL LICENCIATURA EN DOCENCIA DEL IDIOMA INGLES","CTEC - PORTAL LANDINGS UDI PREGRADO VIRTUAL LICENCIATURA EN DOCENCIA DEL IDIOMA INGLES is not working","21h 12m 53s","No","Actions (2)",""
"Disaster","2025-04-16 22:26:10","2025-04-17 19:39:27","RESOLVED","(CTEC) - PORTAL LANDINGS UDI PREGRADO PRESENCIAL TECNICO UNIVERSITARIO EN SERVICIO PARA AEROLINEAS","CTEC - PORTAL LANDINGS UDI PREGRADO PRESENCIAL TECNICO UNIVERSITARIO EN SERVICIO PARA AEROLINEAS is not working","21h 13m 17s","No","Actions (2)",""
"Disaster","2025-04-16 22:25:57","2025-04-17 19:43:36","RESOLVED","(CTEC) PORTAL LANDINGS USAM POSGRADO PRESENCIAL","CTEC - PORTAL LANDINGS USAM POSGRADO PRESENCIAL is not working","21h 17m 39s","No","Actions (2)",""
"Disaster","2025-04-16 22:25:56","2025-04-17 19:43:32","RESOLVED","(CTEC) PORTAL LANDINGS USAM PREGRADO PRESENCIAL","CTEC - PORTAL LANDINGS USAM PREGRADO PRESENCIAL is not working","21h 17m 36s","No","Actions (2)",""
"Disaster","2025-04-16 22:25:52","2025-04-17 19:42:54","RESOLVED","(CTEC) - PORTAL LANDINGS USAM PREGRADO PRESENCIAL LICENCIATURA EN ADMINISTRACION DE EMPRESAS CON ENFASIS EN GERENCIA","CTEC - PORTAL LANDINGS USAM PREGRADO PRESENCIAL LICENCIATURA EN ADMINISTRACION DE EMPRESAS CON ENFASIS EN GERENCIA is not working","21h 17m 2s","No","Actions (2)",""
"Disaster","2025-04-16 22:25:50","2025-04-17 19:43:02","RESOLVED","(CTEC) - PORTAL LANDINGS USAM POSGRADO PRESENCIAL MAESTRIA PROFESIONAL EN ADMINISTRACION DE NEGOCIOS CON ENFASIS EN MERCADEO","CTEC - PORTAL LANDINGS USAM POSGRADO PRESENCIAL MAESTRIA PROFESIONAL EN ADMINISTRACION DE NEGOCIOS CON ENFASIS EN MERCADEO is not working","21h 17m 12s","No","Actions (2)",""
"Disaster","2025-04-16 22:25:46","2025-04-17 19:43:05","RESOLVED","(CTEC) - PORTAL LANDINGS USAM PREGRADO VIRTUAL BACHILLERATO EN ADMINISTRACION EMPRESAS","CTEC - PORTAL LANDINGS USAM PREGRADO VIRTUAL BACHILLERATO EN ADMINISTRACION EMPRESAS is not working","21h 17m 19s","No","Actions (2)",""
"Disaster","2025-04-16 22:25:39","2025-04-17 19:43:16","RESOLVED","(CTEC) - PORTAL LANDINGS USAM PREGRADO PRESENCIAL LICENCIATURA EN ADMINISTRACION DE EMPRESAS","CTEC - PORTAL LANDINGS USAM PREGRADO PRESENCIAL LICENCIATURA EN ADMINISTRACION DE EMPRESAS is not working","21h 17m 37s","No","Actions (2)",""
"Disaster","2025-04-16 22:25:29","2025-04-17 19:43:37","RESOLVED","(CTEC) - PORTAL LANDINGS USAM PREGRADO VIRTUAL BACHILLERATO EN MARKETING","CTEC - PORTAL LANDINGS USAM PREGRADO VIRTUAL BACHILLERATO EN MARKETING is not working","21h 18m 8s","No","Actions (2)",""
"Disaster","2025-04-16 22:25:28","2025-04-17 19:43:16","RESOLVED","(CTEC) - PORTAL LANDINGS USAM PREGRADO PRESENCIAL LICENCIATURA EN DOCENCIA","CTEC - PORTAL LANDINGS USAM PREGRADO PRESENCIAL LICENCIATURA EN DOCENCIA is not working","21h 17m 48s","No","Actions (2)",""
"Disaster","2025-04-16 22:25:22","2025-04-17 19:43:16","RESOLVED","(CTEC) - PORTAL LANDINGS USAM PREGRADO PRESENCIAL BACHILLERATO EN CONTADURIA","CTEC - PORTAL LANDINGS USAM PREGRADO PRESENCIAL BACHILLERATO EN CONTADURIA is not working","21h 17m 54s","No","Actions (2)",""
"Disaster","2025-04-16 22:25:21","2025-04-17 19:42:56","RESOLVED","(CTEC) - PORTAL LANDINGS USAM POSGRADO PRESENCIAL MAESTRIA PROFESIONAL EN ADMINISTRACION DE NEGOCIOS CON ENFASIS EN RECURSOS HUM","CTEC - PORTAL LANDINGS USAM POSGRADO PRESENCIAL MAESTRIA PROFESIONAL EN ADMINISTRACION DE NEGOCIOS CON ENFASIS EN RECURSOS HUMAN is not working","21h 17m 35s","No","Actions (2)",""
"Disaster","2025-04-16 22:25:21","2025-04-17 19:42:51","RESOLVED","(CTEC) - PORTAL LANDINGS USAM PREGRADO PRESENCIAL LICENCIATURA EN ADMINISTRACION DE EMPRESAS CON ENFASIS EN FINANZAS","CTEC - PORTAL LANDINGS USAM PREGRADO PRESENCIAL LICENCIATURA EN ADMINISTRACION DE EMPRESAS CON ENFASIS EN FINANZAS is not working","21h 17m 30s","No","Actions (2)",""
"Disaster","2025-04-16 22:25:20","2025-04-17 19:43:39","RESOLVED","(CTEC) PORTAL LANDINGS USAM PROGRAMA ESPECIALES VIRTUAL","CTEC - PORTAL LANDINGS USAM PROGRAMA ESPECIALES VIRTUAL is not working","21h 18m 19s","No","Actions (2)",""
"Disaster","2025-04-16 22:25:20","2025-04-17 19:43:29","RESOLVED","(CTEC) - PORTAL LANDINGS USAM PREGRADO PRESENCIAL LICENCIATURA EN CONTADURIA PUBLICA","CTEC - PORTAL LANDINGS USAM PREGRADO PRESENCIAL LICENCIATURA EN CONTADURIA PUBLICA is not working","21h 18m 9s","No","Actions (2)",""
"Disaster","2025-04-16 22:25:18","2025-04-17 19:43:18","RESOLVED","(CTEC) - PORTAL LANDINGS USAM PREGRADO PRESENCIAL BACHILLERATO EN ADMINISTRACION EMPRESAS","CTEC - PORTAL LANDINGS USAM PREGRADO PRESENCIAL BACHILLERATO EN ADMINISTRACION EMPRESAS is not working","21h 18m","No","Actions (2)",""
"Disaster","2025-04-16 22:25:14","2025-04-17 19:43:13","RESOLVED","(CTEC) - PORTAL LANDINGS USAM PREGRADO VIRTUAL LICENCIATURA EN CONTADURIA PUBLICA","CTEC - PORTAL LANDINGS USAM PREGRADO VIRTUAL LICENCIATURA EN CONTADURIA PUBLICA is not working","21h 17m 59s","No","Actions (2)",""
"Disaster","2025-04-16 22:25:11","2025-04-17 19:43:39","RESOLVED","(CTEC) - PORTAL LANDINGS USAM PREGRADO VIRTUAL LICENCIATURA EN MARKETING","CTEC - PORTAL LANDINGS USAM PREGRADO VIRTUAL LICENCIATURA EN MARKETING is not working","21h 18m 28s","No","Actions (2)",""
"Disaster","2025-04-16 22:25:06","2025-04-17 19:43:13","RESOLVED","(CTEC) - PORTAL LANDINGS USAM POSGRADO PRESENCIAL MAESTRIA PROFESIONAL EN ADMINISTRACION DE NEGOCIOS CON ENFASIS EN FINANZAS","CTEC - PORTAL LANDINGS USAM POSGRADO PRESENCIAL MAESTRIA PROFESIONAL EN ADMINISTRACION DE NEGOCIOS CON ENFASIS EN FINANZAS is not working","21h 18m 7s","No","Actions (2)",""
