"Severity","Time","Recovery time","Status","Host","Problem","Duration","Ack","Actions","Tags"
"Average","2025-04-30 22:19:44","2025-04-30 22:29:15","RESOLVED","(CTEC) SERVIDOR HEPPBIEIM01","4 G:: Disk is overloaded (util > 92% for 15m)","9m 31s","No","","Application: Disk 4 G:"
"Warning","2025-04-30 22:17:46","2025-04-30 22:22:46","RESOLVED","(ANDINA) SERVIDOR FUAPDMMPSQL02","The Memory Pages/sec is too high (over 1000 for 5m)","5m","No","","Application: Memory"
"Average","2025-04-30 22:16:32","2025-04-30 23:35:51","RESOLVED","(CTEC) SERVIDOR ILUPBIODS01","4 H:: Disk write request responses are too high (write > 0.02s for 15m)","1h 19m 19s","No","","Application: Disk 4 H:"
"Average","2025-04-30 22:16:29","2025-04-30 23:57:41","RESOLVED","(CTEC) SERVIDOR ILUPBIODS01","3 G:: Disk read request responses are too high (read > 0.02s for 15m","1h 41m 12s","No","","Application: Disk 3 G:"
"Average","2025-04-30 22:16:28","2025-04-30 22:23:48","RESOLVED","(ILUMNO) SERVIDOR ILUPGENDB01","1 D:: Disk is overloaded (util > 92% for 15m)","7m 20s","No","","Application: Disk 1 D:"
"Average","2025-04-30 22:14:37","2025-04-30 23:58:31","RESOLVED","(CTEC) SERVIDOR ILUPBIODS01","5 J:: Disk read request responses are too high (read > 0.02s for 15m","1h 43m 54s","No","","Application: Disk 5 J:"
"Average","2025-04-30 22:14:35","2025-05-01 00:00:25","RESOLVED","(CTEC) SERVIDOR ILUPBIODS01","5 J:: Disk is overloaded (util > 92% for 15m)","1h 45m 50s","No","","Application: Disk 5 J:"
"Average","2025-04-30 22:14:32","2025-04-30 23:58:17","RESOLVED","(CTEC) SERVIDOR ILUPBIODS01","3 G:: Disk is overloaded (util > 92% for 15m)","1h 43m 45s","No","","Application: Disk 3 G:"
"Average","2025-04-30 22:10:30","2025-04-30 22:35:23","RESOLVED","(CTEC) SERVIDOR ILUPBIEDW01","1 F:: Disk write request responses are too high (write > 0.02s for 15m)","24m 53s","No","","Application: Disk 1 F:"
"High","2025-04-30 22:02:13","2025-04-30 23:39:13","RESOLVED","(CTEC) SERVIDOR HEPPBIREP01","Unavailable by ICMP ping","1h 37m","No","Actions (2)","Application: Status, Availability: Yes"
"Warning","2025-04-30 21:57:54","2025-04-30 22:02:54","RESOLVED","(ANDINA) SERVIDOR FUAPDMMPSQL02","CPU queue length is too high (over 3 for 5m)","5m","No","","Application: CPU"
"Average","2025-04-30 21:52:34","2025-04-30 23:39:34","RESOLVED","(CTEC) SERVIDOR HEPPBIREP01","Unavailable by ICMP ping","1h 47m","No","","Application: Status, Availability: Yes"
"Average","2025-04-30 21:51:43","2025-04-30 22:02:43","RESOLVED","(CTEC) SERVIDOR HEPPBIEIM01","4 G:: Disk is overloaded (util > 92% for 15m)","11m","No","","Application: Disk 4 G:"
"High","2025-04-30 21:51:19","2025-04-30 22:17:49","RESOLVED","(CTEC) SERVIDOR C3P-FTPUNIV01","Unavailable by ICMP ping","26m 30s","No","","Application: Status, Availability: Yes"
"Warning","2025-04-30 21:47:46","2025-04-30 21:52:46","RESOLVED","(ANDINA) SERVIDOR FUAPDMMPSQL02","The Memory Pages/sec is too high (over 1000 for 5m)","5m","No","","Application: Memory"
